skill,title,link,platform
python,Python for Beginners - Full Course,https://www.youtube.com/watch?v=kqtD5dpn9C8,YouTube
fastapi,FastAPI Tutorial for Beginners,https://www.youtube.com/watch?v=0sOvCWFmrtA,YouTube
sql,SQL Basics for Beginners,https://www.youtube.com/watch?v=HXV3zeQKqGY,YouTube
docker,Docker Tutorial for Beginners,https://www.youtube.com/watch?v=pTFZFxd4hOI,YouTube
machine learning,Machine Learning Full Course,https://www.youtube.com/watch?v=GwIoAwOUzOU,YouTube
javascript,JavaScript Tutorial for Beginners,https://www.youtube.com/watch?v=PkZNo7Vs5y4,YouTube
html,HTML Full Course for Beginners,https://www.youtube.com/watch?v=m3BSquEGQvE,YouTube
css,CSS Full Course for Beginners,https://www.youtube.com/watch?v=1PnVor362jQ,YouTube
react,React JS Full Course,https://www.youtube.com/watch?v=bMDivdgAR04,YouTube
git,Git and GitHub Full Course,https://www.youtube.com/watch?v=RGOj5yH7evk,YouTube
typescript,TypeScript Tutorial for Beginners,https://www.youtube.com/watch?v=BZXNu_G86hc,YouTube
next.js,Next.js 14 Full Course,https://www.youtube.com/watch?v=ur3t7z-sJ64,YouTube
tailwind,Tailwind CSS Full Course,https://www.youtube.com/watch?v=lLLXg0spnzE,YouTube
figma,Figma Tutorial for Beginners,https://www.youtube.com/watch?v=Q-p2GSoekjI,YouTube
aws,AWS Full Course for Beginners,https://www.youtube.com/watch?v=wl5v805Q0_c,YouTube
kubernetes,Kubernetes Full Course,https://www.youtube.com/watch?v=X48VuKNk4u4,YouTube
terraform,Terraform Full Course,https://www.youtube.com/watch?v=SLdzdzx520g,YouTube
redis,Redis Tutorial for Beginners,https://www.youtube.com/watch?v=Moxy8v8Wfv8,YouTube
celery,Celery Tutorial for Beginners,https://www.youtube.com/watch?v=9J1Qp5_2T18,YouTube
r,R Programming Full Course,https://www.youtube.com/watch?v=KJgsSFOSQv0,YouTube
tableau,Tableau Full Course,https://www.youtube.com/watch?v=Y_2c4_h7w_4,YouTube
power bi,Power BI Full Course,https://www.youtube.com/watch?v=tqQ_18_H9_o,YouTube
scikit-learn,Scikit-Learn Full Course,https://www.youtube.com/watch?v=06RyjsNyw4U,YouTube
tensorflow,TensorFlow Full Course,https://www.youtube.com/watch?v=t2Rj8tgk_HY,YouTube
pytorch,PyTorch Full Course,https://www.youtube.com/watch?v=V_xro1bcAuA,YouTube
mlops,MLOps Full Course,https://www.youtube.com/watch?v=52T2_w36230,YouTube
statistics,Statistics Full Course,https://www.youtube.com/watch?v=Om6JcYgRubQ,YouTube
data visualization,Data Visualization Full Course,https://www.youtube.com/watch?v=F2NPqbnxQqw,YouTube
data analysis,Data Analysis Full Course,https://www.youtube.com/watch?v=KKNuOCBN-7k,YouTube
deep learning,Deep Learning Full Course,https://www.youtube.com/watch?v=v64KO5ZyFNk,YouTube
nlp,NLP Full Course,https://www.youtube.com/watch?v=X2vJbPFDJKU,YouTube
computer vision,Computer Vision Full Course,https://www.youtube.com/watch?v=QpxOhf985ag,YouTube
big data,Big Data Full Course,https://www.youtube.com/watch?v=2-4m4XT5iMk,YouTube
system design,System Design Full Course,https://www.youtube.com/watch?v=ZSRHe_7d6P4,YouTube
networking,Networking Full Course,https://www.youtube.com/watch?v=AY_8_V_7g_4,YouTube
security,Cybersecurity Full Course,https://www.youtube.com/watch?v=0_6S55nSjKU,YouTube
security frameworks,Security Frameworks Full Course,https://www.youtube.com/watch?v=3_33W4-w-78,YouTube
wireshark,Wireshark Tutorial,https://www.youtube.com/watch?v=62464-h49q8,YouTube
cryptography,Cryptography Full Course,https://www.youtube.com/watch?v=Z8J1-q1Qz6A,YouTube
siem,SIEM Tutorial,https://www.youtube.com/watch?v=2-4m4XT5iMk,YouTube
agile,Agile Methodology Full Course,https://www.youtube.com/watch?v=ZSRHe_7d6P4,YouTube
communication,Communication Skills Full Course,https://www.youtube.com/watch?v=AY_8_V_7g_4,YouTube
user research,User Research Full Course,https://www.youtube.com/watch?v=0_6S55nSjKU,YouTube
jira,Jira Tutorial,https://www.youtube.com/watch?v=3_33W4-w-78,YouTube
algorithms,Algorithms Full Course,https://www.youtube.com/watch?v=62464-h49q8,YouTube
data structures,Data Structures Full Course,https://www.youtube.com/watch?v=Z8J1-q1Qz6A,YouTube
