course_id,course_title
1,Networking in Google Cloud Specialization
2,"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective"
3,Fundamentals of Network Communication
4,Design a User Experience for Social Good & Prepare for Jobs
5,Building Database Applications in PHP
6,Web Design: Wireframes to Prototypes
7,Build Wireframes and Low-Fidelity Prototypes
8,Introduction to C# Programming and Unity
9,Virtual Reality Specialization
10,C++ Programming for Unreal Game Development Specialization
11,Game Design and Development with Unity 2020 Specialization
12,Interaction Design Specialization
13,Digital Product Management Specialization
14,Web Design for Everybody: Basics of Web Development & Coding Specialization
15,Google UX Design Professional Certificate
16,Foundations of User Experience (UX) Design
17,Google UX Design Professional Certificate
18,Fundamentals of Graphic Design
19,"HTML, CSS, and Javascript for Web Developers"
20,Agile Analytics
21,Building AI Powered Chatbots Without Programming
22,Real-World Product Management Specialization
23,User Experience Research and Design Specialization
24,Client Needs and Software Requirements
25,Evaluating User Interfaces
26,Introduction to UI Design
27,Interaction Design Specialization
28,Networking
29,Fundamentals of Computer Network Security Specialization
30,Introduction to Networking and Storage
31,Creando una aplicación con Stellar SDK
32,Crea y vende tus NFT en marketplace
33,البدء باستخدام برنامج packet tracer
34,Diseñando tarjetas de presentación en Adobe Illustrator
35,Computer Security and Systems Management Specialization
36,Introduction to Cyber Security Specialization
37,(ISC)² Systems Security Certified Practitioner (SSCP)
38,Google IT Support Professional Certificate
39,Networking in Google Cloud: Defining and Implementing Networks
40,Los bits y bytes de las redes informáticas
41,Estrutura e Funcionamento das Redes de Computadores
42,Seluk Beluk Jaringan Komputer
43,Networking in Google Cloud 日本語版 Specialization
44,Cloud Application Development Foundations Specialization
45,The Bits and Bytes of Computer Networking
46,Networking in Google Cloud Specialization
47,AWS Cloud Technical Essentials
48,Cloud Application Development Foundations Specialization
49,The Bits and Bytes of Computer Networking
50,Site Reliability Engineering: Measuring and Managing Reliability
51,Continuous Delivery & DevOps
52,Introduction to Hardware and Operating Systems
53,IT Support Google Professional Certificate
54,Sistem Operasi dan Anda: Menjadi Pengguna yang Berdaya
55,Dasar-Dasar Dukungan Teknis
56,Fundamentos do Suporte Técnico
57,Palo Alto Networks Cybersecurity Professional Certificate
