job_id,job_title,skills
1,Job Title 1,"azure, css, react, cloud computing, tensorflow"
2,Job Title 2,"aws, python, azure, c++, java"
3,Job Title 3,"python, react, tensorflow, sql, java"
4,Job Title 4,"data analysis, react, javascript, c++"
5,Job Title 5,"javascript, html, linux, tensorflow"
6,Job Title 6,"python, javascript, c++, kubernetes, azure"
7,Job Title 7,"fastapi, react, aws, git, docker"
8,Job Title 8,"linux, css, aws, fastapi, java"
9,Job Title 9,"html, kubernetes, docker, tensorflow, css, sql, javascript, cloud computing"
10,Job Title 10,"pytorch, cloud computing, css, tensorflow, machine learning, html, sql"
11,Job Title 11,"pytorch, java, aws, fastapi"
12,Job Title 12,"git, html, kubernetes, docker, pytorch, cloud computing, tensorflow"
13,Job Title 13,"aws, machine learning, pytorch, docker, html, java, azure"
14,Job Title 14,"aws, tensorflow, kubernetes, azure, html"
15,Job Title 15,"c++, data analysis, linux, pytorch"
16,Job Title 16,"azure, fastapi, git"
17,Job Title 17,"docker, machine learning, aws, linux"
18,Job Title 18,"html, linux, kubernetes, cloud computing, git, tensorflow"
19,Job Title 19,"pytorch, azure, html"
20,Job Title 20,"data analysis, kubernetes, javascript, pytorch"
21,Job Title 21,"machine learning, python, cloud computing, javascript, pytorch"
22,Job Title 22,"git, data analysis, aws"
23,Job Title 23,"css, git, tensorflow, python, data analysis, javascript, kubernetes, cloud computing"
24,Job Title 24,"c++, git, fastapi, aws, java, react, docker, azure"
25,Job Title 25,"machine learning, sql, java, c++, python, javascript"
26,Job Title 26,"docker, git, machine learning"
27,Job Title 27,"aws, c++, fastapi"
28,Job Title 28,"git, css, java"
29,Job Title 29,"html, c++, css, cloud computing, git, sql, javascript, java"
30,Job Title 30,"javascript, data analysis, azure, machine learning, aws, linux, fastapi"
31,Job Title 31,"azure, c++, linux, css, fastapi, machine learning"
32,Job Title 32,"git, data analysis, azure, aws, react, css, tensorflow"
33,Job Title 33,"c++, machine learning, fastapi, javascript, css"
34,Job Title 34,"data analysis, c++, react, cloud computing, html, sql"
35,Job Title 35,"azure, css, javascript, git, c++, data analysis, python, aws"
36,Job Title 36,"fastapi, data analysis, tensorflow, html, javascript, react"
37,Job Title 37,"kubernetes, pytorch, sql, git, c++"
38,Job Title 38,"javascript, cloud computing, pytorch, linux, aws, azure, html, react"
